date,squat,press,bench,deadlift,power Clean
20151018,47.7,13.6,,61.4,
20151020,50,,20.5,65.9,
20151022,52.3,20.5,,70.5,
20151025,54.5,,25,75,
20151103,56.8,22.7,,77.3,
20151105,59.1,,29.5,79.5,
20151108,61.4,25,,81.8,
20151110,63.6,,36.4,84.1,
20151112,65.9,27.3,,86.4,
20151115,68.2,,40.9,,20.5
20151117,70.5,29.5,,88.6,
20151119,72.7,,43.2,,29.5
20151122,75,31.8,,90.9,
20151201,75,,47.7,,34.1
20151203,77.3,34.1,,93.2,
20151206,79.5,,52.3,,38.6
20151208,81.8,36.4,,95.5,
20151210,84.1,,56.8,,40.9
20151213,86.4,38.6,,97.7,
20151215,88.6,,59.1,,43.2
20151218,90.9,38.6,,102.3,
20151220,93.2,,61.4,,45.5
20151222,95.5,40.9,,104.5,
20151224,97.7,,63.6,,47.7
20160103,100,40.9,,106.8,
20160112,90.9,,61.4,,43.2
20160114,93.2,36.4,,109.1,
20160119,95.5,,63.6,,45.5
20160124,97.7,38.6,,111.4,
20160126,100,,65.8,,47
20160128,100,43.6,,110,
20160202,86,,63,,45
20160204,86,40,,100,
20160207,88,,64,,46
20160209,90,40,,102.5,
20160211,92,,66,,48
20160216,94,41,,105,
20160218,96,,67,,50
20160221,98,41,,105,
20160223,98,,68,,52
20160227,100,42,,107.5,
20160301,100,,69,,54
20160303,60,43,,110,
20160306,60,,71,,56
20160308,60,44,,112.5,
20160310,60,,72,,58
20160314,60,45,,115,
20160323,60,,73,,60
20160329,60,46,,117.5,
20160331,60,,74,,62
20160403,60,45,,117.5,
20160405,60,,74,,64
20160407,64,46,,120,
20160410,68,,75,,66
20160412,72,47,,122.5,
20160414,76,,76,,68
20160417,80,48,,125,
20160419,84,,77,,70
20160421,86,49,,127.5,
20160424,88,,78,,72
20160426,90,50,,130,
20160428,92,,79,,74
20160501,94,51,,132.5,
20160503,96,,80,,76
20160505,98,52,,135,
20160508,100,,81,,78